Pilot Strategy,R2,RMSE,MAE,MAPE (%),MedAE,Max Error,Time (s),Best Params,dataset_name
RLT,0.8977,2.3452,1.6603,7.65,1.1739,7.2118,10.1466,"{'alpha': 0.05, 'combsplit': 1, 'combsplit_th': 0.25, 'embed_mtry': 0.5, 'embed_n_th': 80, 'embed_nmin': 7, 'embed_ntrees': 50, 'importance': True, 'model': 'classification', 'mtry': 5, 'muting': -1, 'n_jobs': -1, 'nmin': 20, 'nsplit': 1, 'ntrees': 50, 'pilot_model': 'decision_tree', 'protect': 2, 'reinforcement': True, 'replacement': True, 'resample_prob': 0.7, 'split_gen': 'random', 'track_obs': False}",AutoMPG
XGBRegressor,0.8475,2.8632,1.9465,8.35,1.1511,11.3809,0.2287,"{'objective': 'reg:squarederror', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 1, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.05, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 6, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 300, 'n_jobs': -1, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 1, 'tree_method': None, 'validate_parameters': None, 'verbosity': None, 'min_sample_leaf': 1}",AutoMPG
RLT,0.6343,0.1323,0.0897,82.2,0.0587,0.5701,53.9551,"{'alpha': 0.05, 'combsplit': 1, 'combsplit_th': 0.25, 'embed_mtry': 0.5, 'embed_n_th': 80, 'embed_nmin': 7, 'embed_ntrees': 50, 'importance': True, 'model': 'classification', 'mtry': 5, 'muting': -1, 'n_jobs': -1, 'nmin': 20, 'nsplit': 1, 'ntrees': 50, 'pilot_model': 'decision_tree', 'protect': 2, 'reinforcement': True, 'replacement': True, 'resample_prob': 0.7, 'split_gen': 'random', 'track_obs': False}",crime
XGBRegressor,0.6179,0.1353,0.0912,85.13,0.0573,0.6339,1.2984,"{'objective': 'reg:squarederror', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 1, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.05, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 6, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 300, 'n_jobs': -1, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 1, 'tree_method': None, 'validate_parameters': None, 'verbosity': None, 'min_sample_leaf': 1}",crime
RLT,0.8707,5.7727,4.6972,15.11,3.887,13.6415,34.3035,"{'alpha': 0.05, 'combsplit': 1, 'combsplit_th': 0.25, 'embed_mtry': 0.5, 'embed_n_th': 80, 'embed_nmin': 7, 'embed_ntrees': 50, 'importance': True, 'model': 'classification', 'mtry': 5, 'muting': -1, 'n_jobs': -1, 'nmin': 20, 'nsplit': 1, 'ntrees': 50, 'pilot_model': 'decision_tree', 'protect': 2, 'reinforcement': True, 'replacement': True, 'resample_prob': 0.7, 'split_gen': 'random', 'track_obs': False}",concrete
XGBRegressor,0.9118,4.7685,3.1107,9.76,1.9313,19.0581,0.2438,"{'objective': 'reg:squarederror', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 1, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.05, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 6, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 300, 'n_jobs': -1, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 1, 'tree_method': None, 'validate_parameters': None, 'verbosity': None, 'min_sample_leaf': 1}",concrete
RLT,0.9613,1.8929,1.2665,4.66,0.6755,7.3274,15.2173,"{'alpha': 0.05, 'combsplit': 1, 'combsplit_th': 0.25, 'embed_mtry': 0.5, 'embed_n_th': 80, 'embed_nmin': 7, 'embed_ntrees': 50, 'importance': True, 'model': 'classification', 'mtry': 5, 'muting': -1, 'n_jobs': -1, 'nmin': 20, 'nsplit': 1, 'ntrees': 50, 'pilot_model': 'decision_tree', 'protect': 2, 'reinforcement': True, 'replacement': True, 'resample_prob': 0.7, 'split_gen': 'random', 'track_obs': False}",energy_cooling_load
XGBRegressor,0.9909,0.9179,0.5743,2.08,0.3416,4.4848,0.2262,"{'objective': 'reg:squarederror', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 1, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.05, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 6, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 300, 'n_jobs': -1, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 1, 'tree_method': None, 'validate_parameters': None, 'verbosity': None, 'min_sample_leaf': 1}",energy_cooling_load
RLT,0.9845,1.2696,0.9076,4.93,0.6616,5.1815,12.5189,"{'alpha': 0.05, 'combsplit': 1, 'combsplit_th': 0.25, 'embed_mtry': 0.5, 'embed_n_th': 80, 'embed_nmin': 7, 'embed_ntrees': 50, 'importance': True, 'model': 'classification', 'mtry': 5, 'muting': -1, 'n_jobs': -1, 'nmin': 20, 'nsplit': 1, 'ntrees': 50, 'pilot_model': 'decision_tree', 'protect': 2, 'reinforcement': True, 'replacement': True, 'resample_prob': 0.7, 'split_gen': 'random', 'track_obs': False}",energy_heating_load
XGBRegressor,0.9985,0.3908,0.2715,1.28,0.1878,1.5097,0.201,"{'objective': 'reg:squarederror', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 1, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.05, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 6, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 300, 'n_jobs': -1, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 1, 'tree_method': None, 'validate_parameters': None, 'verbosity': None, 'min_sample_leaf': 1}",energy_heating_load
